state,action
[ 1  1 -1 -1 -1  1  1  0  0],-0.5314410000000002
[ 1  1 -1 -1 -1  0  1  1  0],-8.1
[ 1  1 -1 -1 -1  0  1  0  1],-8.1
[ 1  1 -1 -1 -1  1  1 -1  1],-0.89991
[ 1  1 -1 -1 -1  1  1 -1  0],-0.6561000000000001
[ 1  1 -1 -1 -1  0  1  0  0],-0.43046721000000016
[ 1  0 -1 -1  0  0  1  0  0],-0.28242953648100017
[ 0  0 -1  0  0  0  1  0  0],3.537545255483982
[ 0  0  0 -1  1  0  1  0  0],0
[ 0  0  0 -1  0  1  1  0  0],0
[ 0  0  0 -1  0  0  1  1  0],0
[ 0  0  0 -1  0  0  1  0  1],0
[ 1 -1  0 -1  1  0  1  0  0],0
[ 1 -1  0 -1  0  1  1  0  0],-5.3144100000000005
[ 1 -1  0 -1  0  0  1  1  0],0
[ 1 -1  0 -1  0  0  1  0  1],0
[ 1 -1  1 -1 -1  1  1  0  0],-8.1
[ 1 -1  1 -1 -1  0  1  1  0],-8.1
[ 1 -1  1 -1 -1  0  1  0  1],-8.1
[ 1 -1  1 -1 -1  0  1  0  0],-7.28271
[ 1 -1  0 -1  0  0  1  0  0],-4.3046721
[ 0  0  0 -1  0  0  1  0  0],4.92345437387646
[-1  0  0  0  0  0  0  1  1],0
[-1  1 -1  0  0  0  0  1  1],0
[-1  1 -1  1 -1  0  0  1  1],5.8989951000000005
[-1  1 -1  1 -1  0  0  1  0],-7.174053279000001
[-1  1 -1  0  0  0  0  1  0],6.1587757436481
[-1  0  0  0  0  0  0  1  0],3.1638675482018295
[-1  1 -1  1 -1  0  0  0  1],4.664794170690001
[-1  1 -1  0  0  0  0  0  1],-0.7442778057761896
[-1  0  0  0  0  0  0  0  1],4.074420347426265
[ 0 -1  0  1  1  0  0  0  0],0
[ 0 -1  0  1  0  1  0  0  0],0
[ 0 -1  0  1  0  0  0  1  0],-5.06276528299543
[ 0 -1  0  1  0  0  0  0  1],-5.3144100000000005
[ 1 -1 -1  1  1  0  0  0  0],5.3144100000000005
[ 1 -1 -1  1  0  1  0  0  0],5.845851000000001
[ 1 -1 -1  1  0  0  0  1  0],-5.3144100000000005
[ 1 -1 -1  1  0  0  0  0  1],-5.3144100000000005
[ 1 -1 -1  1  0  0  0  0  0],7.2171
[ 0 -1  0  1  0  0  0  0  0],4.735139310000001
[ 0  0 -1  1  1  0  0  0  0],6.196817119345496
[ 0  0 -1  1  0  1  0  0  0],4.366903841100001
[ 0  0 -1  1  0  0  0  1  0],0
[ 0  0 -1  1  0  0  0  0  1],-5.845851000000001
[ 1  0 -1  1 -1  1  0  0  0],-8.1
[ 1  0 -1  1 -1  0  1  0  0],0
[ 1  0 -1  1 -1  0  0  1  0],-8.1
[ 1  0 -1  1 -1  0  0  0  1],-5.3144100000000005
[ 1  0 -1  1 -1  0  0  0  0],-7.174053279000001
[ 0  0 -1  1  0  0  0  0  0],3.8076421757849115
[ 0 -1  0  0  1  1  0  0  0],0
[ 0 -1  0  0  1  0  0  1  0],-5.6630884401
[ 0 -1  0  0  1  0  0  0  1],5.904309510000001
[ 1 -1 -1  0  1  1  0  0  0],0
[ 1 -1 -1  0  1  0  0  1  0],3.4867844010000004
[ 1 -1 -1  0  1  0  0  0  1],8.91
[ 1 -1 -1  1  1 -1  1  0  0],8.91
[ 1 -1 -1  1  1 -1  0  1  0],0
[ 1 -1 -1  1  1 -1  0  0  1],0
[ 1 -1 -1  1  1 -1  0  0  0],6.561
[ 1 -1 -1  0  1  0  0  0  0],4.3046721
[ 0 -1  0  0  1  0  0  0  0],5.167559592778492
[ 0  0 -1  0  1  1  0  0  0],0
[ 0  0 -1  0  1  0  0  1  0],0
[ 0  0 -1  0  1  0  0  0  1],0
[ 1  0 -1 -1  1  1  0  0  0],3.4867844010000004
[ 1  0 -1 -1  1  0  0  1  0],5.3144100000000005
[ 1  0 -1 -1  1  0  0  0  1],8.1
[ 1  1 -1 -1  1  1  0 -1  0],-0.5314410000000002
[ 1  1 -1 -1  1  0  1 -1  0],-0.5898995100000001
[ 1  1 -1 -1  1  0  0 -1  1],8.991
